id,name
CA_college_m_Cal_Poly_Pomona,Cal Poly Pomona
MO_college_m_NW_Missouri,NW Missouri
MA_college_m_Assumption,Assumption
TX_college_m_Texas_Permian_Basin,UT-Permian Basin
CA_college_m_Cal_St_San_Marcos,Cal St. San Marcos
MO_college_m_Central_Missouri,Central Missouri
NC_college_m_Catawba,Catawba
NY_college_m_Roberts_Wesleyan,Roberts Wesleyan
GA_college_m_Augusta,Augusta
AL_college_m_Montevallo,Montevallo
MA_college_m_Stonehill,Stonehill
CA_college_m_Cal_St_Stanislaus,Stanislaus State
CA_college_m_Azusa_Pacific,Azusa Pacific
PA_college_m_Shippensburg,Shippensburg
OH_college_m_Findlay,Findlay
IL_college_m_Illinois_Springfield,Illinois-Springfield
FL_college_m_Florida_Southern,Florida Southern
MI_college_m_Northwood,Northwood (Mich.)
UT_college_m_BYU,BYU
IA_college_m_Iowa_State,Iowa State
NC_college_m_Campbell,Campbell
CA_college_m_Stanford,Stanford
MI_college_m_Michigan_State,Michigan State
FL_college_m_Florida_State,Florida State
AZ_college_m_Northern_Arizona,Northern Arizona
PA_college_m_Villanova,Villanova
IN_college_m_Notre_Dame_IN,Notre Dame
AR_college_m_Arkansas,Arkansas
UT_college_m_Weber_State,Weber State
OR_college_m_Oregon,Oregon
NC_college_m_Wake_Forest,Wake Forest
OK_college_m_Oklahoma_State,Oklahoma State
MA_college_m_Harvard,Harvard
CO_college_m_Colorado,Colorado
NY_college_m_Iona,Iona
CO_college_m_Air_Force,Air Force
NC_college_m_North_Carolina,North Carolina
WI_college_m_Wisconsin,Wisconsin
TX_college_m_Texas,Texas
NM_college_m_New_Mexico,New Mexico
OK_college_m_Tulsa,Tulsa
WA_college_m_Gonzaga,Gonzaga
WA_college_m_Washington,Washington
MS_college_m_Mississippi,Ole Miss
AL_college_m_Alabama,Alabama
NC_college_m_North_Carolina_St,NC State
OR_college_m_Portland,Portland
NY_college_m_Syracuse,Syracuse
MT_college_m_Montana_State,Montana State
IN_college_m_Butler,Butler
RI_college_m_Providence,Providence
