id,first_name,last_name,team_id
5470625,Lucas,Estrada,MA_college_m_Williams
5470634,Liam,Cossette,WA_college_m_Western_Washington
5470656,Shane,Streich,MN_college_m_Minnesota
5470835,Zach,Gentry,OK_college_m_Oklahoma
5471475,Sam,Elmi,MI_college_m_Cornerstone
5471750,Cameron,Chase,MA_college_m_UMass_Boston
5471796,Ryan,Sharkey,OH_college_m_Miami_OH
5471798,Kane,Dixon,OH_college_m_Miami_OH
5471935,Arman,Irani,CA_college_m_UC_Riverside
5472206,Michael,Melgares,KS_college_m_Kansas
5472267,Luke,Bruns,CO_college_m_Colo_Christian
5472600,Dillon,Smith,MI_college_m_Wayne_St_MI
5472909,Brandon,Vaughn,TX_college_m_Dallas_Baptist
5472911,Jorge,Hernandez,TN_college_m_Lincoln_Memorial
5472964,Trey,Simons,GA_college_m_Morehouse
5473295,Rowan,Doherty,BC_college_m_Simon_Fraser
5473298,Sean,Miller,BC_college_m_Simon_Fraser
5473301,Carlos,Vargas,BC_college_m_Simon_Fraser
5473325,Alex,Navarro,OR_college_m_Eastern_Oregon
5473456,Samuel,Blake,CA_college_m_UC_San_Diego
5473793,Curtis,Freeman,NC_college_m_Pfeiffer
5473879,Kyle,Garcia,TX_college_m_Lamar
5474105,Lance,Mueller,MO_college_m_St_Louis_U
5474454,Isiah,Cameron,FL_college_m_Webber
5476686,Tyler,Sievert,OH_college_m_Ashland
5476829,Adam,Taylor,NY_college_m_RIT
5477169,Forrest,Barton,CO_college_m_Colorado_State
5477170,Satchel,Caldwell,CO_college_m_Colorado_State
5477494,Elijah,Armstrong,UT_college_m_BYU
5477668,Raul,Almaraz,TX_college_m_Wayland_Baptist
5479117,Brandon,Boggs,SC_college_m_Francis_Marion
5479118,Robert,Hahn,SC_college_m_Francis_Marion
5479206,Alec,Dominguez,FL_college_m_Florida_Intl
5479273,Calahan,Warren,FL_college_m_Embry_Riddle
5479276,John,Dennehy,FL_college_m_Embry_Riddle
5479514,Dorian,Jones,SC_college_m_USC_Upstate
5480734,Mike,Grasing,MO_college_m_Truman_State
5480926,Joe,Carter,IL_college_m_Eastern_Illinois
5481035,Jose,Pina,CA_college_m_San_Jose_State
5481061,Isaac,Roldan,OK_college_m_Oklahoma_City
5481139,Lukas,Hassler,FL_college_m_Florida_Tech
5481989,Pratheip,Gugendiran,NY_college_m_St_Francis_NY
5482495,John,Rice,TX_college_m_Texas
5483278,Kyle,Jones,CO_college_m_Metropolitan_St
5483504,Miller,Kettle,CO_college_m_Colorado_Mines
