id,name,date,distance,venue,city
15365,Kim Duyst Twilight XC Invitational (Universities),09/14/2019,8000.0,River Oaks Golf Course,3441 Golf Links Rd
15372,Titan Invite,10/25/2019,8000.0,Cal State Fullerton,"Fullerton, CA 92834"
15373,Jenna Strong XC Invitational (Wilmington College),10/11/2019,8000.0,Wilmington College,"Wilmington, OH 44017"
15374,Lewis Earlybird Invite,09/06/2019,6000.0,Lewis XC Course,"Romeoville, IL 60446"
15375,NDNU Argonaut Invitational,09/07/2019,6596.0,Crystal Springs Cross Country Course,"Belmont, CA 94002"
15376,Buffalo Stampede,09/06/2019,6000.0,WTAMU The Range,"Canyon, TX 79015"
15377,South Central Region Preview,10/12/2019,8000.0,WTAMU The Range,"Canyon, TX 79015"
15378,2019 Big Wave Invitational,08/31/2019,5000.0,Kahuku Golf Course,"Honolulu, HI 96822"
15379,Elmhurst Earlybird Invitational,08/30/2019,6000.0,Eldridge Park,"Elmhurst, IL 60126"
15382,VSU Fall Opener,09/13/2019,8000.0,Rogers Stadium,"Ettrick, VA 23803"
15383,Trojan XC Invite,09/20/2019,8000.0,Rogers Stadium,"Ettrick, VA 23803"
15387,Cairn Invite,08/30/2019,3958.0,Cairn University,200 Manor Ave
15389,Chabot Invitational,09/14/2019,6436.0,Las Positas College,"Livermore, CA 94550"
15390,Jeff Drenth Memorial,08/30/2019,5000.0,Pleasant Hills Golf Course,6012 South Mission Road
15392,AEC Preview Meet,08/31/2019,6000.0,Lakeland High School,"Scott, PA 18433"
15395,2019 Fred Pavlich Invitational,09/21/2019,8000.0,Bard College,"Annandale-On-Hudson, NY 12504"
15398,UMass Dartmouth Cross Country Invitational,09/21/2019,8045.0,UMass Dartmouth Campus,285 Old Westport Road
15400,MSU Spartan Invitational,09/13/2019,8000.0,Forest Akers East Cross Country Course,"East Lansing, MI"
15401,William and Mary XC Invitational,09/13/2019,6000.0,Eastern State,"Williamsburg, VA 23188"
15404,Queensborough XC Invitation,09/15/2019,8045.0,Van Cortland Park,"Bayside, NY"
15406,Warner Pacific XC Classic,10/19/2019,8000.0,Lents Park,"Portland, OR"
15412,Monmouth University XC Kick-Off,09/07/2019,6000.0,Thompson Park,"Lincroft, NJ 07738"
15415,2019 Coach Downey XC Classic,09/27/2019,6436.0,Morley Field,"San Diego, CA"
15416,EMU Mennonite Heritage Cross Country Invitational,09/06/2019,5000.0,Eastern Mennonite,"Harrisonburg, VA 22802"
15420,EIU Walt Crawford Open,09/06/2019,8000.0,Eastern Illinois Trails,"Charleston, IL 61920"
15422,G-MAC Cross Country Championships,10/26/2019,8000.0,Butler Campus - Laurel School,Butler Campus-Laurel School- 7420 Fairmount Rd
15423,Trinity College Bantam Invitational 2019,09/07/2019,5000.0,Wickham Park,"Manchester, CT 6040"
15426,UMW Opener,08/30/2019,5000.0,Mary Washington,"Fredericksburg, VA"
15427,UWG Home Cross Country Opener,09/27/2019,8000.0,University of West Georgia,"Carrollton, GA 30066"
15428,Pitt Panther Opener,08/30/2019,6000.0,Carrie Blast Furnace,"Rankin, PA 15260"
15429,CITY AUTO Memphis Twilight XC Classic,08/31/2019,6436.0,"Mike Rose Complex - Memphis,TN - 8/31/2019",9000 East Shelby Drive
15430,2019 ACAA Conference Cross Country Championships,10/26/2019,8000.0,Pinetop Campus Trail,5000 MacAuthur Blvd
15434,ECXC's Short Course Invite,09/20/2019,6000.0,Union Canal Tunnel Park,"Lebanon, PA 17046"
15435,Mount St. Mary's 5K Duals,08/30/2019,5000.0,Mount St. Mary's Univerisity,"Emmitsburg, MD 21727"
15437,4th Annual NYIT Cross Country Invitational,09/14/2019,7562.0,NYIT,"Old Wesbury, NY 11568"
15439,13th Annual Sand Shark Invitational,10/19/2019,8000.0,Sergeant Jasper Park,"Hardeeville, SC"
15446,Ken Garland Classic,09/28/2019,8000.0,St Martins College,5000 Abbey Way SE
15453,2019 IWU Wildcat Twilight Invitational,09/06/2019,8000.0,Indiana Wesleyan,"Marion, IN 46953"
15460,Frontier XC Preview,09/13/2019,7948.0,Amend Park,"Billings, MT 59101"
15461,Ohio State - Buckeye Preview,09/28/2019,8000.0,Scarlet and Gray Golf Course,"Columbus, OH 43228"
15462,Cedarville Friendship Invitational,09/14/2019,8000.0,Cedarville Elvin R King CC Course,"Cedarville, OH 45314"
15463,Little 3 Cross Country Meet,09/14/2019,6000.0,Wesleyan Cross Country Course,Long Lane
15464,TriState Invitational at CCRI,10/05/2019,8000.0,Flanagan Campus,1762 Luisquisset Pike
15466,Puget Sound Invitational,08/31/2019,8000.0,Ft. Steilacoom Park,"Tacoma, WA 98416"
15469,Little Rock Invitational,10/19/2019,8000.0,War Memorial Park,"Little Rock, AR 72204"
15472,Vassar Ron Stonitsch XC Invitational 2019,09/07/2019,6000.0,Vassar Farm,"Poughkeepsie, NY 12404"
15474,George Mason Cross Country Invitational,09/13/2019,8000.0,"Oatlands Plantation, Leesburg, VA.","Fairfax, VA 22030"
15481,Clash of the Inland Northwest,08/31/2019,5750.0,"Eastern Washington University - Cheney, Wash.","Cheney, WA 99004"
15483,UWP Vic Godfrey Open,09/06/2019,7996.0,Wayne E. Dannehl Cross Country Course,"Kenosha, WI 53144"
15484,Terry Masterson Twilight Classic,08/30/2019,6436.0,Hutchinson Community College,"Hutchinson, KS 67501"
15485,2019 Delaware Cross Country Invitational,09/28/2019,8000.0,White Clay Creek,"Newark, DE 19716"
15486,Lucian Rosa Invitational,09/28/2019,7996.0,Wayne E. Dannehl National Cross Country,"Kenosha, WI 53144"
